departmentId,category,subCategory,totalSeats
mnc,ST2,ST2CDP,0
mnc,ST2,ST2CPF,0
mnc,ST2,ST2SPT,0
mnc,RBA,RBA,3
mnc,RBA,RBAPWD,0
mnc,RBA,RBACDP,0
mnc,RBA,RBACPF,0
mnc,RBA,RBASPT,0
mnc,RLAC,RLAC,1
mnc,RLAC,RLACPWD,0
mnc,RLAC,RLACCDP,0
mnc,RLAC,RLACCPF,0
mnc,RLAC,RLACSPT,0
mnc,OBC,OBC,1
mnc,OBC,OBCPWD,1
mnc,OBC,OBCCDP,0
mnc,OBC,OBCCPF,0
mnc,OBC,OBCSPT,0
me,GEN,GNGN,5
me,GEN,GNPWD,0
me,GEN,GNCDP,0
me,GEN,GNCPF,0
me,GEN,GNSPT,1
me,EWS,EWS,2
me,EWS,EWSPWD,0
me,EWS,EWSCDP,0
me,EWS,EWSCPF,0
me,EWS,EWSSPT,0
me,SC,SC,1
me,SC,SCPWD,0
me,SC,SCCDP,0
me,SC,SCCPF,0
me,SC,SCSPT,0
me,ST1,ST1,2
me,ST1,ST1PWD,0
me,ST1,ST1CDP,0
me,ST1,ST1CPF,0
me,ST1,ST1SPT,0
me,ST2,ST2,1
me,ST2,ST2PWD,0
me,ST2,ST2CDP,0
me,ST2,ST2CPF,0
me,ST2,ST2SPT,0
me,RBA,RBA,1
me,RBA,RBAPWD,0
me,RBA,RBACDP,0
me,RBA,RBACPF,0
me,RBA,RBASPT,0
me,RLAC,RLAC,1
me,RLAC,RLACPWD,0
me,RLAC,RLACCDP,0
me,RLAC,RLACCPF,0
me,RLAC,RLACSPT,0
me,OBC,OBC,1
me,OBC,OBCPWD,0
me,OBC,OBCCDP,0
me,OBC,OBCCPF,0
me,OBC,OBCSPT,0
ai_robotics,GEN,GNGN,11
ai_robotics,GEN,GNPWD,0
ai_robotics,GEN,GNCDP,0
ai_robotics,GEN,GNCPF,0
ai_robotics,GEN,GNSPT,1
ai_robotics,EWS,EWS,2
ai_robotics,EWS,EWSPWD,0
ai_robotics,EWS,EWSCDP,0
ai_robotics,EWS,EWSCPF,1
ai_robotics,EWS,EWSSPT,0
ai_robotics,SC,SC,2
